Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-13,16:00:00,1.0,42.875,0.125,0.1875,31.4978662705
2024-08-13,16:15:00,1.0,45.75,0.1875,0.125,32.1485755858
2024-08-13,16:30:00,1.0,39.5625,0.1875,0.1875,28.8028668677
2024-08-13,16:45:00,1.0,37.9375,0.125,0.09375,28.4741294326
2024-08-13,17:00:00,1.0,37.1875,0.1875,0.21875,28.2153635371
2024-08-13,17:15:00,1.0,34.0,0.1875,0.1875,27.0521266824
2024-08-13,17:30:00,1.0,37.0,0.125,0.09375,29.5681400147
2024-08-13,17:45:00,1.0,36.1875,0.1875,0.21875,27.5520175379
2024-08-13,18:00:00,1.0,35.0,0.1875,0.09375,26.5865272794
2024-08-13,18:15:00,1.0,35.375,0.125,0.1875,26.3714780572
2024-08-13,18:30:00,1.0,34.75,0.1875,0.09375,22.7364224802
2024-08-13,18:45:00,1.0,37.25,0.1875,0.21875,26.7856526346
2024-08-13,19:00:00,1.0,36.125,0.21875,0.1875,22.4133236441
2024-08-13,19:15:00,1.0,35.375,0.09375,0.09375,25.039447315
2024-08-13,19:30:00,1.0,33.25,0.1875,0.21875,21.5316253691
2024-08-13,19:45:00,1.0,31.375,0.21875,0.09375,21.0961740131
2024-08-13,20:00:00,1.0,29.3125,0.09375,0.1875,20.723934338
2024-08-13,20:15:00,1.0,28.5,0.1875,0.21875,18.7678893336
2024-08-13,20:30:00,1.0,27.0,0.21875,0.09375,18.3590014753
2024-08-13,20:45:00,1.0,25.8125,0.09375,0.1875,16.7113812644
2024-08-13,21:00:00,1.0,24.1875,0.1875,0.125,15.9198987626
2024-08-13,21:15:00,1.0,22.0,0.21875,0.1875,15.3110436231
2024-08-13,21:30:00,1.0,21.1875,0.1875,0.1875,14.1045770594
2024-08-13,21:45:00,1.0,21.0,0.09375,0.125,14.0787690305
2024-08-13,22:00:00,1.0,20.375,0.21875,0.1875,12.7780656314
2024-08-13,22:15:00,1.0,19.25,0.1875,0.09375,12.9596571524
2024-08-13,22:30:00,1.0,18.0,0.09375,0.21875,12.4366270711
2024-08-13,22:45:00,1.0,17.75,0.21875,0.1875,12.2194951744
2024-08-13,23:00:00,1.0,17.625,0.1875,0.09375,12.1017668276
2024-08-13,23:15:00,1.0,16.125,0.21875,0.21875,11.9308792137
2024-08-13,23:30:00,1.0,17.75,0.09375,0.1875,11.9897978281
2024-08-13,23:45:00,1.0,17.3125,0.1875,0.09375,11.9663017564
2024-08-14,00:00:00,0.4,18.0,0.21875,0.21875,12.0667667543
2024-08-14,00:15:00,0.4,18.4375,0.1875,0.1875,12.1601820079
2024-08-14,00:30:00,0.4,19.0,0.1875,0.09375,12.1943507219
2024-08-14,00:45:00,0.4,18.5,0.125,0.21875,12.5901516743
2024-08-14,01:00:00,0.4,17.875,0.1875,0.1875,12.2656429927
2024-08-14,01:15:00,0.4,17.8125,0.1875,0.09375,12.1888225257
2024-08-14,01:30:00,0.4,19.1875,0.125,0.21875,12.179825677
2024-08-14,01:45:00,0.4,15.875,0.1875,0.09375,11.8903636398
2024-08-14,02:00:00,0.4,18.75,0.1875,0.1875,11.8012805463
2024-08-14,02:15:00,0.4,17.6875,0.21875,0.21875,11.6698771677
2024-08-14,02:30:00,0.4,14.5,0.09375,0.09375,11.5508682684
2024-08-14,02:45:00,0.4,16.8125,0.1875,0.1875,10.0114197976
2024-08-14,03:00:00,0.4,13.25,0.21875,0.21875,8.903815209
2024-08-14,03:15:00,0.4,13.8125,0.09375,0.09375,10.1289868898
2024-08-14,03:30:00,0.4,14.1875,0.1875,0.1875,10.0874633242
2024-08-14,03:45:00,0.4,16.8125,0.21875,0.09375,10.1087746531
2024-08-14,04:00:00,0.4,13.625,0.09375,0.21875,10.0654274278
2024-08-14,04:15:00,0.4,15.375,0.1875,0.1875,9.9691122637
2024-08-14,04:30:00,0.4,12.9375,0.21875,0.09375,9.9847147053
2024-08-14,04:45:00,0.4,14.1875,0.1875,0.21875,9.956669487
2024-08-14,05:00:00,0.4,14.375,0.09375,0.1875,9.9116459738
2024-08-14,05:15:00,0.4,14.1875,0.21875,0.09375,9.9070999572
2024-08-14,05:30:00,0.4,15.625,0.1875,0.21875,9.9100883505
2024-08-14,05:45:00,0.4,13.5,0.09375,0.09375,9.887909042
2024-08-14,06:00:00,0.4,13.6875,0.21875,0.1875,9.8562112651
2024-08-14,06:15:00,0.4,13.1875,0.1875,0.21875,9.5037179468
2024-08-14,06:30:00,0.4,13.4375,0.09375,0.09375,6.9200771202
2024-08-14,06:45:00,0.4,14.3125,0.21875,0.1875,9.9585932401
2024-08-14,07:00:00,0.4,12.6875,0.1875,0.125,9.9612723511
2024-08-14,07:15:00,0.4,13.0625,0.09375,0.1875,6.5247651868
2024-08-14,07:30:00,0.4,14.9375,0.21875,0.1875,10.1097098017
2024-08-14,07:45:00,0.4,14.5,0.1875,0.125,10.1837886235
2024-08-14,08:00:00,0.4,16.0,0.09375,0.1875,10.3228466571
2024-08-14,08:15:00,0.4,15.0,0.21875,0.09375,11.4012520096
2024-08-14,08:30:00,0.4,16.6875,0.1875,0.21875,12.6765017602
2024-08-14,08:45:00,0.4,17.6875,0.21875,0.1875,12.4050533119
2024-08-14,09:00:00,0.4,18.9375,0.09375,0.09375,14.2949762309
2024-08-14,09:15:00,0.4,18.75,0.1875,0.21875,15.620306455
2024-08-14,09:30:00,0.4,19.125,0.21875,0.09375,15.9171313514
2024-08-14,09:45:00,0.4,21.1875,0.09375,0.1875,17.5894655189
2024-08-14,10:00:00,0.4,23.5,0.1875,0.21875,20.2291381527
2024-08-14,10:15:00,0.4,26.3125,0.21875,0.09375,21.6316095775
2024-08-14,10:30:00,0.4,22.875,0.09375,0.1875,21.6947051627
2024-08-14,10:45:00,0.4,26.25,0.1875,0.09375,23.3698695135
2024-08-14,11:00:00,0.4,26.5,0.21875,0.21875,23.5462919286
2024-08-14,11:15:00,0.4,28.0625,0.09375,0.09375,23.8406601282
2024-08-14,11:30:00,0.4,28.8125,0.1875,0.1875,23.8436572022
2024-08-14,11:45:00,0.4,29.125,0.21875,0.21875,22.636251051
2024-08-14,12:00:00,0.4,30.0625,0.09375,0.09375,23.3808131317
2024-08-14,12:15:00,0.4,29.8125,0.1875,0.1875,23.2035036731
2024-08-14,12:30:00,0.4,29.875,0.21875,0.125,22.9907297435
2024-08-14,12:45:00,0.4,30.75,0.09375,0.1875,24.9910375743
2024-08-14,13:00:00,0.4,29.875,0.1875,0.09375,23.2373638632
2024-08-14,13:15:00,0.4,29.0,0.21875,0.21875,23.4539922729
2024-08-14,13:30:00,0.4,28.625,0.09375,0.09375,23.047472989
2024-08-14,13:45:00,0.4,28.375,0.1875,0.1875,23.5076926389
2024-08-14,14:00:00,0.4,28.6875,0.21875,0.21875,23.3645713527
2024-08-14,14:15:00,0.4,30.6875,0.09375,0.09375,23.8155598798
2024-08-14,14:30:00,0.4,31.4375,0.1875,0.1875,24.8864313769
2024-08-14,14:45:00,0.4,32.0,0.21875,0.09375,24.5499780212
2024-08-14,15:00:00,0.4,32.3125,0.09375,0.21875,24.5244938719
2024-08-14,15:15:00,0.4,33.0,0.1875,0.09375,25.8460553566
2024-08-14,15:30:00,0.4,34.5,0.21875,0.1875,27.4486814124
2024-08-14,15:45:00,0.4,34.0625,0.09375,0.21875,25.8722505105
2024-08-14,16:00:00,0.4,33.1875,0.1875,0.09375,25.4666968121
2024-08-14,16:15:00,0.4,34.0,0.21875,0.1875,26.2865526428
2024-08-14,16:30:00,0.4,35.3125,0.09375,0.125,27.6384779805
2024-08-14,16:45:00,0.4,36.1875,0.1875,0.1875,28.7132929608
2024-08-14,17:00:00,0.4,40.0,0.21875,0.09375,29.0683310901
2024-08-14,17:15:00,0.4,35.4375,0.09375,0.21875,28.7695785244
2024-08-14,17:30:00,0.4,35.875,0.1875,0.1875,28.4807560482
2024-08-14,17:45:00,0.4,36.6875,0.21875,0.09375,28.4819203391
2024-08-14,18:00:00,0.4,36.25,0.1875,0.21875,27.8684184326
2024-08-14,18:15:00,0.4,36.0,0.09375,0.09375,27.9569827454
2024-08-14,18:30:00,0.4,35.0,0.21875,0.1875,27.9906820205
2024-08-14,18:45:00,0.4,34.875,0.1875,0.21875,27.6655928439
2024-08-14,19:00:00,0.4,35.0,0.09375,0.09375,26.9671376483
2024-08-14,19:15:00,0.4,34.5,0.21875,0.1875,26.9090399459
2024-08-14,19:30:00,0.4,33.3125,0.1875,0.21875,26.4869373285
2024-08-14,19:45:00,0.4,32.875,0.1875,0.09375,26.3467139387
2024-08-14,20:00:00,0.4,33.125,0.125,0.1875,26.3226644762
2024-08-14,20:15:00,0.4,33.8125,0.1875,0.09375,26.1521460781
2024-08-14,20:30:00,0.4,33.75,0.1875,0.21875,25.9155917112
2024-08-14,20:45:00,0.4,34.5,0.125,0.1875,25.7933320646
2024-08-14,21:00:00,0.4,34.125,0.1875,0.09375,25.7069558562
2024-08-14,21:15:00,0.4,34.3125,0.1875,0.21875,25.7490529956
2024-08-14,21:30:00,0.4,33.8125,0.125,0.09375,25.6417392558
2024-08-14,21:45:00,0.4,34.0,0.1875,0.1875,25.6183598477
2024-08-14,22:00:00,0.4,34.25,0.1875,0.21875,25.4715883268
2024-08-14,22:15:00,0.4,34.625,0.21875,0.09375,25.2091308651
2024-08-14,22:30:00,0.4,35.6875,0.09375,0.1875,25.4317550066
2024-08-14,22:45:00,0.4,36.6875,0.1875,0.125,25.6214616712
2024-08-14,23:00:00,0.4,37.0,0.21875,0.1875,25.9586839677
2024-08-14,23:15:00,0.4,37.0,0.1875,0.1875,26.1274158079
2024-08-14,23:30:00,0.4,38.5,0.09375,0.125,26.3729278923
2024-08-14,23:45:00,0.4,41.5,0.21875,0.1875,26.7854023609
2024-08-15,00:00:00,0.9,38.5,0.1875,0.1875,27.2849426911
2024-08-15,00:15:00,0.9,42.0,0.21875,0.125,27.2243929518
2024-08-15,00:30:00,0.9,41.0,0.09375,0.1875,27.2095346113
2024-08-15,00:45:00,0.9,41.125,0.1875,0.5,27.3713122264
2024-08-15,01:00:00,0.9,34.0,0.21875,22.6875,27.4297106978
2024-08-15,01:15:00,0.9,31.625,0.09375,1.3125,27.6596921378
2024-08-15,01:30:00,0.9,40.875,0.1875,0.09375,27.7720306038
2024-08-15,01:45:00,0.9,44.3125,0.21875,0.21875,28.3194729157
2024-08-15,02:00:00,0.9,42.5,0.1875,0.1875,28.6531831912
2024-08-15,02:15:00,0.9,44.3125,0.09375,0.09375,28.7465112052
2024-08-15,02:30:00,0.9,42.5,0.21875,0.21875,29.0441947305
2024-08-15,02:45:00,0.9,44.1875,0.1875,0.1875,29.3778093557
2024-08-15,03:00:00,0.9,43.1875,0.09375,0.09375,29.3592193035
2024-08-15,03:15:00,0.9,41.5,0.21875,0.21875,29.2386380713
2024-08-15,03:30:00,0.9,42.0,0.1875,0.09375,29.1805825673
2024-08-15,03:45:00,0.9,39.125,0.1875,0.1875,28.645442985
2024-08-15,04:00:00,0.9,40.75,0.125,0.21875,27.8941719542
2024-08-15,04:15:00,0.9,36.9375,0.1875,0.09375,26.8599929939
2024-08-15,04:30:00,0.9,35.375,0.1875,0.1875,26.2500476403
