Date,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301,CDD 15.5
2024-08-13,932.1875,5.40625,5.09375,658.2308222634,1.0
2024-08-14,2473.1875,16.3125,15.40625,1868.5250577579998,0.4
2024-08-15,3314.25,16.28125,224.09375,2549.3357424363994,0.9
2024-08-16,2090.875,16.40625,15.5,1581.5514672079005,0.2
2024-08-17,2327.1875,16.3125,15.40625,1933.5519210332,0.2
2024-08-18,2477.125,16.5,15.59375,2020.5060501728,1.1
2024-08-19,3259.875,16.1875,179.0,2507.2352558310004,0.5
2024-08-20,2063.8125,16.40625,15.5,1756.4085445116007,0.1
2024-08-21,2498.875,16.40625,15.59375,1882.0036041618,0.1
2024-08-22,1238.9375,1760.09375,79.40625,2334.7064837568005,0.1
2024-08-23,17.1875,2498.6875,127.5,1882.5806672077,0.1
2024-08-24,17.5,1949.3125,15.5,1499.1440002620996,0.1
2024-08-25,17.0,2392.09375,40.90625,1903.1059871281,0.3
2024-08-26,10.0,1871.09375,535.09375,1570.1614134504998,0.1
2024-08-27,17.0625,3407.90625,1164.1875,3015.2735540957997,0.7
2024-08-28,1104.9375,1591.09375,425.21875,2289.8657797240994,0.6
2024-08-29,2203.375,16.40625,15.28125,1811.3063187700002,0.6
2024-08-30,2548.5,16.3125,15.21875,1798.0684399284003,0.4
2024-08-31,2427.3125,16.5,72.59375,1860.9943175868998,0.6
2024-09-01,3413.125,16.375,299.1875,2466.1799866738997,0.5
2024-09-02,2982.6875,16.3125,150.40625,2178.1942729649995,0.1
2024-09-03,2149.0,16.5,15.3125,1603.4974189256998,0.2
2024-09-04,1872.8125,16.40625,15.09375,1443.1002424946,0.0
2024-09-05,2288.5,16.40625,15.1875,1726.8799456495,0.2
2024-09-06,3740.25,627.28125,14.90625,3026.0274513165004,1.3
2024-09-07,3354.125,503.40625,14.90625,2749.2927771169,1.2
2024-09-08,3002.25,41.0,15.09375,2439.8460350905,0.2
2024-09-09,2056.0,16.40625,15.21875,1757.8124778379997,0.3
2024-09-10,2105.5,16.40625,15.1875,1868.2153505845,0.0
2024-09-11,1477.0,16.28125,15.40625,1029.6549226095,0.0
2024-09-12,1625.0,16.3125,15.28125,912.3092876556998,0.0
2024-09-13,1513.375,16.28125,15.40625,1127.7138608106002,0.0
2024-09-14,2455.625,16.3125,15.3125,2233.2345321205,0.0
2024-09-15,2676.375,16.1875,15.1875,2325.7016570630008,0.4
2024-09-16,2499.125,16.3125,15.21875,1945.3991359411002,0.7
2024-09-17,3014.25,16.40625,121.59375,2405.5336987126,0.7
2024-09-18,2399.125,70.59375,15.28125,2772.1366327414,0.3
2024-09-19,2759.75,120.0,15.3125,2184.6780693813002,1.1
2024-09-20,2724.375,122.6875,15.3125,2117.5243073716006,0.9
2024-09-21,2469.5,16.5,15.375,1946.9297074373003,0.3
2024-09-22,2699.0,16.3125,15.21875,2099.7917818236997,0.1
2024-09-23,2121.5,16.3125,15.09375,1547.0353371765998,0.0
2024-09-24,1713.5,16.28125,15.09375,1382.0838179623001,0.0
2024-09-25,1661.0,16.40625,15.3125,1287.337803536,0.0
2024-09-26,1422.875,16.40625,15.5,948.4891487056001,0.0
2024-09-27,1525.875,16.28125,15.40625,771.1452094235,0.0
2024-09-28,1445.0,16.5,15.6875,816.7543765510999,0.0
2024-09-29,1994.625,16.3125,15.5,1606.2290801221,0.0
2024-09-30,1537.25,16.40625,668.59375,1605.1677919109998,0.0
2024-10-01,1217.0,16.28125,782.09375,1284.4758871527001,0.0
2024-10-02,1237.75,572.625,201.8125,1388.2188670554,0.0
2024-10-03,1395.625,1118.59375,15.40625,1891.6564796124,0.0
2024-10-04,1941.75,1570.0,15.28125,2070.8700916472,0.0
2024-10-05,1873.375,1391.09375,15.40625,1924.2619991024999,0.0
2024-10-06,1724.125,1344.5,15.21875,1801.2474135926,0.0
2024-10-07,1901.75,1496.0,15.1875,1979.9199540634002,0.0
2024-10-08,1433.875,1155.40625,15.0,1582.9328107613,0.0
2024-10-09,1129.375,517.90625,486.6875,1213.0003133188002,0.0
2024-10-10,1290.75,30.6875,282.625,520.9838233478999,0.0
2024-10-11,1365.75,30.1875,15.375,448.1123841853001,0.0
2024-10-12,1080.75,16.5,15.21875,565.3907890874999,0.0
2024-10-13,1278.875,16.40625,15.28125,470.74870207749996,0.0
2024-10-14,1806.25,29.8125,15.3125,859.2838156054,0.0
2024-10-15,2094.0,616.59375,15.3125,1692.0996377728998,0.0
